submission_id,QUD,RT,age,animal,comments,condition,education,endTime,experiment_id,gender,item_id,languages,modal,optionLeft,optionRight,prolific_id,question,response,startDate,startTime,timeSpent,trial_name,trial_number
2157,He is not a lamb.,7421,29,lamb,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,1,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,34,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,15
2157,He is not really a lamb.,7977,29,lamb,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,4,English,really,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>INNOCENT</b> ?,7,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,16
2157,She is not a cow.,4124,29,cow,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,29,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>FAT</b> ?,26,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,17
2157,She is not a hen.,6795,29,hen,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,37,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,34,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,18
2157,He is not a weasel.,2270,29,weasel,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,41,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>DEVIOUS</b> ?,25,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,19
2157,He is not literally a mouse.,2780,29,mouse,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,27,English,literally,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>QUIET</b> ?,18,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,20
2157,She is not literally a hen.,2175,29,hen,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,39,English,literally,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>PROTECTIVE</b> ?,30,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,21
2157,He is not a lion.,3532,29,lion,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,13,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>BRAVE</b> ?,30,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,22
2157,He is not a wolf.,13190,29,wolf,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,non-intensified,Graduated College,1627822842234,64,male,5,English,non-modal,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>LONELY</b> ?,38,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,23
2157,She is not really an owl.,2332,29,owl,It felt strange that every answer was skewed towards negative portrayals of people rather than it going both positive and negative.,intensified,Graduated College,1627822842234,64,male,48,English,really,<b>-</b>,<b>+</b>,5dec6a96da522335df62a1b5,To what extent do you think the person being talked about is portrayed as ... <br /><b>WISE</b> ?,31,Sun Aug 01 2021 08:57:23 GMT-0400 (Eastern Daylight Time),1627822643545,3.3114833333333333,slider_rating_custom,24
